ref_month,dt,release,time_et,actual,consensus_median,surprise_sd,ff_futures_delta_bp,path_2y_bp,source_actual,status
2017-07,,CPICORE,08:30,0.09,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-07,2017-07-26,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2017-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-08,,CPI,08:30,0.38,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-08,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-09,,CPI,08:30,0.51,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-09,,CPICORE,08:30,0.11,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-09,2017-09-20,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2017-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-10,,CPI,08:30,0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-10,,CPICORE,08:30,0.28,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-11,,CPI,08:30,0.27,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-11,,CPICORE,08:30,0.11,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-11,2017-11-01,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2017-11,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-12,,CPI,08:30,0.21,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-12,,CPICORE,08:30,0.21,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-12,2017-12-13,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2017-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-01,,CPI,08:30,0.43,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-01,,CPICORE,08:30,0.34,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-01,2018-01-31,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2018-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-02,,CPI,08:30,0.27,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-02,,CPICORE,08:30,0.2,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-03,,CPI,08:30,0.02,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-03,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-03,2018-03-21,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2018-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-04,,CPI,08:30,0.26,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-04,,CPICORE,08:30,0.14,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-05,,CPI,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-05,,CPICORE,08:30,0.2,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-05,2018-05-02,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2018-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-06,,CPI,08:30,0.09,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-06,,CPICORE,08:30,0.1,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-06,2018-06-13,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2018-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-07,,CPI,08:30,0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-07,,CPICORE,08:30,0.12,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-08,,CPI,08:30,0.18,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-08,,CPICORE,08:30,0.07,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-08,2018-08-01,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2018-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-09,,CPI,08:30,0.21,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-09,,CPICORE,08:30,0.18,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-09,2018-09-26,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2018-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-10,,CPI,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-10,,CPICORE,08:30,0.21,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-11,,CPI,08:30,-0.07,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-11,,CPICORE,08:30,0.2,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-11,2018-11-08,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2018-11,,NFP,08:30,,,,,,,needs_dt;needs_actual
2018-12,,CPI,08:30,0.07,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-12,,CPICORE,08:30,0.24,,,,,bls_pkg_2.0.10_revised,needs_dt
2018-12,2018-12-19,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2018-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-01,,CPI,08:30,-0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-01,,CPICORE,08:30,0.27,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-01,2019-01-30,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2019-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-02,,CPI,08:30,0.3,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-02,,CPICORE,08:30,0.16,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-03,,CPI,08:30,0.38,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-03,,CPICORE,08:30,0.15,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-03,2019-03-20,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2019-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-04,,CPI,08:30,0.38,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-04,,CPICORE,08:30,0.16,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-05,,CPI,08:30,0.02,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-05,,CPICORE,08:30,0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-05,2019-05-01,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2019-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-06,,CPI,08:30,-0.03,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-06,,CPICORE,08:30,0.2,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-06,2019-06-19,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2019-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-07,,CPI,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-07,,CPICORE,08:30,0.21,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-07,2019-07-31,FOMC,14:00,-25,,,,,hardcoded_record,dt_final
2019-07,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-08,,CPI,08:30,0.09,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-08,,CPICORE,08:30,0.23,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-08,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-09,,CPI,08:30,0.15,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-09,,CPICORE,08:30,0.19,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-09,2019-09-18,FOMC,14:00,-25,,,,,hardcoded_record,dt_final
2019-09,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-10,,CPI,08:30,0.28,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-10,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-10,2019-10-30,FOMC,14:00,-25,,,,,hardcoded_record,dt_final
2019-10,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-11,,CPI,08:30,0.28,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-11,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-11,,NFP,08:30,,,,,,,needs_dt;needs_actual
2019-12,,CPI,08:30,0.29,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-12,,CPICORE,08:30,0.18,,,,,bls_pkg_2.0.10_revised,needs_dt
2019-12,2019-12-11,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2019-12,,NFP,08:30,,,,,,,needs_dt;needs_actual
2020-01,,CPI,08:30,0.19,,,,,bls_pkg_2.0.10_revised,needs_dt
